address	distance	customers	trucks	truck_capacity	algorithm	total_distance
1400 Washington Ave, Albany, NY 12222	10000	51	4	25	ga	247.82543264849255
1400 Washington Ave, Albany, NY 12222	10000	89	4	25	nn	378.4297832655886
1400 Washington Ave, Albany, NY 12222	10000	92	4	25	sa	354.9550260780947
1400 Washington Ave, Albany, NY 12222	10000	91	4	25	aco	298.6749421807142
1400 Washington Ave, Albany, NY 12222	10000	62	4	25	ga	253.70178259263002
1400 Washington Ave, Albany, NY 12222	10000	81	4	25	nn	386.71141526337277
1400 Washington Ave, Albany, NY 12222	10000	84	4	25	sa	368.0124784532838
1400 Washington Ave, Albany, NY 12222	10000	85	4	25	ga	310.36686303902076
1400 Washington Ave, Albany, NY 12222	10000	79	4	25	aco	340.5209238154183
1400 Washington Ave, Albany, NY 12222	10000	96	4	25	nn	327.5876364947433
1400 Washington Ave, Albany, NY 12222	10000	79	4	25	sa	335.66626507765176
1400 Washington Ave, Albany, NY 12222	10000	18	4	25	nn	122.76789511833219
1400 Washington Ave, Albany, NY 12222	10000	21	4	25	sa	129.06088501831726
1400 Washington Ave, Albany, NY 12222	10000	31	4	25	aco	178.35193608367874
1400 Washington Ave, Albany, NY 12222	10000	9	4	25	aco	80.03613485021798
1400 Washington Ave, Albany, NY 12222	10000	27	4	25	nn	165.02966789752358
1400 Washington Ave, Albany, NY 12222	10000	10	4	25	aco	67.29803089962178
1400 Washington Ave, Albany, NY 12222	10000	36	4	25	sa	189.58505723490305
1400 Washington Ave, Albany, NY 12222	10000	88	4	25	ga	359.3978690061779
1400 Washington Ave, Albany, NY 12222	10000	19	4	25	sa	124.72007250738268
1400 Washington Ave, Albany, NY 12222	10000	44	4	25	nn	194.43803875024838
1400 Washington Ave, Albany, NY 12222	10000	27	4	25	aco	152.7588656897736
1400 Washington Ave, Albany, NY 12222	10000	9	4	25	nn	84.02219193638948
1400 Washington Ave, Albany, NY 12222	10000	6	4	25	aco	70.82202204884442
1400 Washington Ave, Albany, NY 12222	10000	60	4	25	ga	264.7806719839725
